Name,Tag_Series,Ticker,Link
GINI Index for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia/series/SIPOVGINIARM,SIPOVGINIARM,https://fred.stlouisfed.org/series/SIPOVGINIARM
Real GDP at Constant National Prices for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia/series/RGDPNAAMA666NRUG,RGDPNAAMA666NRUG,https://fred.stlouisfed.org/series/RGDPNAAMA666NRUG
Number of Listed Companies for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia/series/DDOM01AMA644NWDB,DDOM01AMA644NWDB,https://fred.stlouisfed.org/series/DDOM01AMA644NWDB
"Use of Financial Services, Mobile Banking: Registered Number of Mobile Money Accounts for Armenia",https://fred.stlouisfed.org/tags/series?t=armenia/series/ARMFCMARNUM,ARMFCMARNUM,https://fred.stlouisfed.org/series/ARMFCMARNUM
Constant GDP per capita for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia/series/NYGDPPCAPKDARM,NYGDPPCAPKDARM,https://fred.stlouisfed.org/series/NYGDPPCAPKDARM
Exchange Rate to U.S. Dollar for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia/series/FXRATEAMA618NUPN,FXRATEAMA618NUPN,https://fred.stlouisfed.org/series/FXRATEAMA618NUPN
"Population, Total for Armenia",https://fred.stlouisfed.org/tags/series?t=armenia/series/POPTOTAMA647NWDB,POPTOTAMA647NWDB,https://fred.stlouisfed.org/series/POPTOTAMA647NWDB
Credit to Government and State-Owned Enterprises to GDP for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia/series/DDEI08AMA156NWDB,DDEI08AMA156NWDB,https://fred.stlouisfed.org/series/DDEI08AMA156NWDB
Capital stock at Current Purchasing Power Parities for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia/series/CKSPPPAMA666NRUG,CKSPPPAMA666NRUG,https://fred.stlouisfed.org/series/CKSPPPAMA666NRUG
Remittance Inflows to GDP for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia/series/DDOI11AMA156NWDB,DDOI11AMA156NWDB,https://fred.stlouisfed.org/series/DDOI11AMA156NWDB
Current Account Balance for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia/series/ARMBCAGDPGDPPT,ARMBCAGDPGDPPT,https://fred.stlouisfed.org/series/ARMBCAGDPGDPPT
Bank Non-Performing Loans to Gross Loans for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia/series/DDSI02AMA156NWDB,DDSI02AMA156NWDB,https://fred.stlouisfed.org/series/DDSI02AMA156NWDB
Total External Debt for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia/series/ARMDGDPGDPPT,ARMDGDPGDPPT,https://fred.stlouisfed.org/series/ARMDGDPGDPPT
Core Consumer Price Inflation for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia/series/ARMPCPICOREPCHPT,ARMPCPICOREPCHPT,https://fred.stlouisfed.org/series/ARMPCPICOREPCHPT
Consumer Price Index for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia/series/DDOE01AMA086NWDB,DDOE01AMA086NWDB,https://fred.stlouisfed.org/series/DDOE01AMA086NWDB
Youth Unemployment Rate for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia/series/SLUEM1524ZSARM,SLUEM1524ZSARM,https://fred.stlouisfed.org/series/SLUEM1524ZSARM
Population for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia/series/POPTTLAMA148NRUG,POPTTLAMA148NRUG,https://fred.stlouisfed.org/series/POPTTLAMA148NRUG
