ID,Year,State,Y,X1
1,2019,Arm,2305.00 ,4.95
1,2018,Arm,2152.00 ,4.9
1,2017,Arm,2083.00 ,3.85
1,2016,Arm,1834.00 ,4.09
1,2015,Arm,1553.00 ,4.24
1,2014,Arm,1518.00 ,3.94
1,2013,Arm,1339.00 ,4
1,2012,Arm,1248.00 ,3.82
1,2011,Arm,1106.00 ,3.85
1,2010,Arm,957.00 ,4.27
1,2009,Arm,910.00 ,4.16
1,2008,Arm,527.00 ,3.4
1,2007,Arm,406.00 ,3.04
1,2006,Arm,321.00 ,2.95
1,2005,Arm,311.00 ,2.87
1,2004,Arm,294.00 ,2.74
1,2003,Arm,289.00 ,2.73
1,2002,Arm,283.00 ,2.7
2,2019,Aze,845.00 ,4
2,2018,Aze,882.00 ,3.62
2,2017,Aze,941.00 ,3.82
2,2016,Aze,795.00 ,3.69
2,2015,Aze,942.00 ,5.46
2,2014,Aze,669.00 ,4.56
2,2013,Aze,483.00 ,4.54
2,2012,Aze,434.00 ,4.66
2,2011,Aze,355.00 ,4.67
2,2010,Aze,289.00 ,2.79
2,2009,Aze,233.00 ,3.33
2,2008,Aze,177.00 ,3.29
2,2007,Aze,153.00 ,2.86
2,2006,Aze,131.00 ,3.42
2,2005,Aze,108.00 ,2.3
2,2004,Aze,101.00 ,2.63
2,2003,Aze,192.00 ,2.43
2,2002,Aze,175.00 ,2.24
3,2019,Geo,1901.00 ,1.99
3,2018,Geo,1772.00 ,2.02
3,2017,Geo,1681.00 ,2.06
3,2016,Geo,1636.00 ,2.19
3,2015,Geo,1474.00 ,2.14
3,2014,Geo,1461.00 ,2.52
3,2013,Geo,1129.00 ,2.74
3,2012,Geo,1270.00 ,3.1
3,2011,Geo,953.00 ,3.25
3,2010,Geo,874.00 ,3.9
3,2009,Geo,840.00 ,5.61
3,2008,Geo,790.00 ,8.52
3,2007,Geo,538.00 ,9.16
3,2006,Geo,512.00 ,5.22
3,2005,Geo,529.00 ,3.34
3,2004,Geo,540.00 ,1.37
3,2003,Geo,519.00 ,1.07
3,2002,Geo,403.00 ,1
4,2019,Jor,3442.00 ,4.24
4,2018,Jor,3257.00 ,4.85
4,2017,Jor,3251.00 ,4.51
4,2016,Jor,3272.00 ,5.06
4,2015,Jor,3308.00 ,4.49
4,2014,Jor,3141.00 ,4.68
4,2013,Jor,3100.00 ,4.17
4,2012,Jor,2793.00 ,3.99
4,2011,Jor,2420.00 ,4.06
4,2010,Jor,2244.00 ,4.13
4,2009,Jor,2088.00 ,4.02
4,2008,Jor,1893.00 ,4
4,2007,Jor,1863.00 ,4.63
4,2006,Jor,1765.00 ,4.58
4,2005,Jor,1676.00 ,4.48
4,2004,Jor,1734.00 ,4.51
4,2003,Jor,1740.00 ,4.68
4,2002,Jor,1791.00 ,4.75
5,2019,Kaz,1944.00 ,1.06
5,2018,Kaz,1974.00 ,0.93
5,2017,Kaz,1826.00 ,0.87
5,2016,Kaz,1508.00 ,0.93
5,2015,Kaz,2283.00 ,1.11
5,2014,Kaz,1843.00 ,1.04
5,2013,Kaz,1738.00 ,1.08
5,2012,Kaz,1491.00 ,1.05
5,2011,Kaz,1174.00 ,0.94
5,2010,Kaz,961.00 ,1.01
5,2009,Kaz,729.00 ,1.1
5,2008,Kaz,565.00 ,1.15
5,2007,Kaz,395.00 ,1.3
5,2006,Kaz,351.00 ,0.98
5,2005,Kaz,304.00 ,1.04
5,2004,Kaz,326.00 ,0.99
5,2003,Kaz,309.00 ,1.03
5,2002,Kaz,292.00 ,1
6,2019,Leb,13366.00 ,1.06
6,2018,Leb,12426.00 ,0.93
6,2017,Leb,11680.00 ,0.87
6,2016,Leb,11161.00 ,0.93
6,2015,Leb,10763.00 ,1.11
6,2014,Leb,10626.00 ,1.04
6,2013,Leb,10732.00 ,1.08
6,2012,Leb,10410.00 ,1.05
6,2011,Leb,10317.00 ,0.94
6,2010,Leb,10612.00 ,1.01
6,2009,Leb,10640.00 ,1.1
6,2008,Leb,9870.00 ,1.15
6,2007,Leb,8816.00 ,1.3
6,2006,Leb,8480.00 ,0.98
6,2005,Leb,8181.00 ,1.04
6,2004,Leb,7856.00 ,0.99
6,2003,Leb,7610.00 ,1.03
6,2002,Leb,7353.00 ,1
7,2019,Tur,2983.00 ,2.72
7,2018,Tur,2867.00 ,2.55
7,2017,Tur,2980.00 ,2.07
7,2016,Tur,3050.00 ,2.06
7,2015,Tur,3002.00 ,1.82
7,2014,Tur,3440.00 ,1.88
7,2013,Tur,3892.00 ,1.94
7,2012,Tur,3773.00 ,2.02
7,2011,Tur,4060.00 ,2.04
7,2010,Tur,4048.00 ,2.29
7,2009,Tur,3919.00 ,2.49
7,2008,Tur,3641.00 ,2.2
7,2007,Tur,3806.00 ,2.22
7,2006,Tur,3408.00 ,2.36
7,2005,Tur,3881.00 ,2.41
7,2004,Tur,3319.00 ,2.7
7,2003,Tur,2926.00 ,3.3
7,2002,Tur,2125.00 ,3.8
